Detroit,Michigan,3801,US-Canada Border,2022,Trains,128,42.332,-83.048,POINT (-83.047924 42.331685)
Alcan,Alaska,3104,US-Canada Border,2022,Trucks,461,62.615,-141.001,POINT (-141.001444 62.614961)
Sweetgrass,Montana,3310,US-Canada Border,2021,Trucks,11673,48.998,-111.960,POINT (-111.959611 48.998388)
Laredo,Texas,2304,US-Mexico Border,2019,Trains,414,27.500,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,2006,Trucks,47,49.000,-108.388,POINT (-108.387916 48.999527)
Vanceboro,Maine,0105,US-Canada Border,2020,Trains,27,45.569,-67.429,POINT (-67.428541 45.568761)
Laredo,Texas,2304,US-Mexico Border,2021,Buses,2066,27.500,-99.507,POINT (-99.507412 27.499561)
Neche,North Dakota,3404,US-Canada Border,2022,Trucks,531,49.001,-97.557,POINT (-97.557333 49.000527)
Beecher Falls,Vermont,0206,US-Canada Border,2021,Trucks,705,45.013,-71.505,POINT (-71.505309 45.013411)
Blaine,Washington,3004,US-Canada Border,2021,Trucks,31628,48.994,-122.749,POINT (-122.748884 48.994045)
Turner,Montana,3306,US-Canada Border,2011,Trucks,81,49.000,-108.388,POINT (-108.387916 48.999527)
Del Rio,Texas,2302,US-Mexico Border,1996,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Sherwood,North Dakota,3414,US-Canada Border,2007,Pedestrians,0,48.999,-101.628,POINT (-101.627527 48.999305)
Roma,Texas,2310,US-Mexico Border,2021,Pedestrians,13097,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,2008,Buses,9,62.615,-141.001,POINT (-141.001444 62.614961)
Calais,Maine,0115,US-Canada Border,2019,Trains,24,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2019,Pedestrians,23641,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,2019,Trucks,44,49.000,-108.388,POINT (-108.387916 48.999527)
Scobey,Montana,3309,US-Canada Border,2013,Pedestrians,0,49.000,-105.408,POINT (-105.407638 48.999527)
Roma,Texas,2310,US-Mexico Border,2014,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Roseau,Minnesota,3426,US-Canada Border,2019,Trucks,204,49.000,-95.766,POINT (-95.766469 48.999538)
Laredo,Texas,2304,US-Mexico Border,2021,Trucks,222308,27.500,-99.507,POINT (-99.507412 27.499561)
Neche,North Dakota,3404,US-Canada Border,2020,Trucks,565,49.001,-97.557,POINT (-97.557333 49.000527)
Progreso,Texas,2309,US-Mexico Border,2019,Trucks,4390,26.062,-97.950,POINT (-97.949958 26.062133)
Warroad,Minnesota,3423,US-Canada Border,1997,Trucks,1538,48.999,-95.377,POINT (-95.376555 48.999)
Laredo,Texas,2304,US-Mexico Border,2022,Pedestrians,207750,27.500,-99.507,POINT (-99.507412 27.499561)
Calais,Maine,0115,US-Canada Border,2019,Trucks,5516,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,2016,Buses,25,26.404,-99.019,POINT (-99.018981 26.403928)
Wildhorse,Montana,3323,US-Canada Border,2015,Buses,0,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,2003,Buses,204,26.404,-99.019,POINT (-99.018981 26.403928)
Wildhorse,Montana,3323,US-Canada Border,2021,Trucks,59,48.999,-110.215,POINT (-110.215083 48.999361)
